Time,Source IP,Destination IP,Protocol,Source Port,Destination Port,Length
2025-07-27 00:01:20,192.168.1.68,142.250.203.234,UDP,50241,443,71
2025-07-27 00:01:20,142.250.203.234,192.168.1.68,UDP,443,50241,67
2025-07-27 00:01:20,192.168.1.68,239.255.255.250,UDP,58214,1900,212
2025-07-27 00:01:20,162.159.134.234,192.168.1.68,TCP,443,61946,113
2025-07-27 00:01:20,192.168.1.68,162.159.134.234,TCP,61946,443,54
2025-07-27 00:01:20,192.168.1.68,20.42.65.84,TCP,62961,443,1466
2025-07-27 00:01:20,20.42.65.84,192.168.1.68,TCP,443,62961,66
2025-07-27 00:01:20,20.42.65.84,192.168.1.68,TCP,443,62961,622
2025-07-27 00:01:20,192.168.1.68,20.42.65.84,TCP,62961,443,54
2025-07-27 00:01:20,192.168.1.68,20.42.65.84,TCP,62961,443,78
2025-07-27 00:01:20,192.168.1.68,20.42.65.84,TCP,62961,443,54
2025-07-27 00:01:21,20.42.65.84,192.168.1.68,TCP,443,62961,54
2025-07-27 00:01:21,20.42.65.84,192.168.1.68,TCP,443,62961,54
2025-07-27 00:01:21,192.168.1.68,104.199.65.9,TCP,62791,4070,65
2025-07-27 00:01:21,104.199.65.9,192.168.1.68,TCP,4070,62791,65
2025-07-27 00:01:21,192.168.1.68,239.255.255.250,UDP,58214,1900,212
2025-07-27 00:01:21,192.168.1.68,104.199.65.9,TCP,62791,4070,54
2025-07-27 00:01:21,192.168.1.68,64.233.166.84,UDP,63334,443,1292
2025-07-27 00:01:21,192.168.1.68,64.233.166.84,UDP,63334,443,1292
2025-07-27 00:01:21,192.168.1.68,64.233.166.84,UDP,63334,443,122
2025-07-27 00:01:22,64.233.166.84,192.168.1.68,UDP,443,63334,1292
2025-07-27 00:01:22,64.233.166.84,192.168.1.68,UDP,443,63334,69
2025-07-27 00:01:22,64.233.166.84,192.168.1.68,UDP,443,63334,82
2025-07-27 00:01:22,192.168.1.68,64.233.166.84,UDP,63334,443,1292
2025-07-27 00:01:22,64.233.166.84,192.168.1.68,UDP,443,63334,1292
2025-07-27 00:01:22,64.233.166.84,192.168.1.68,UDP,443,63334,344
2025-07-27 00:01:22,64.233.166.84,192.168.1.68,UDP,443,63334,990
2025-07-27 00:01:22,192.168.1.68,64.233.166.84,UDP,63334,443,154
2025-07-27 00:01:22,192.168.1.68,64.233.166.84,UDP,63334,443,74
2025-07-27 00:01:22,192.168.1.68,64.233.166.84,UDP,63334,443,1288
2025-07-27 00:01:22,192.168.1.68,64.233.166.84,UDP,63334,443,1292
2025-07-27 00:01:22,192.168.1.68,64.233.166.84,UDP,63334,443,1292
2025-07-27 00:01:22,192.168.1.68,64.233.166.84,UDP,63334,443,1292
2025-07-27 00:01:22,192.168.1.68,64.233.166.84,UDP,63334,443,103
2025-07-27 00:01:22,192.168.1.68,64.233.166.84,UDP,63334,443,152
2025-07-27 00:01:22,192.168.1.68,142.250.203.234,UDP,50241,443,71
2025-07-27 00:01:22,64.233.166.84,192.168.1.68,UDP,443,63334,66
2025-07-27 00:01:22,142.250.203.234,192.168.1.68,UDP,443,50241,67
2025-07-27 00:01:22,64.233.166.84,192.168.1.68,UDP,443,63334,163
2025-07-27 00:01:22,64.233.166.84,192.168.1.68,UDP,443,63334,73
2025-07-27 00:01:22,192.168.1.68,64.233.166.84,UDP,63334,443,1292
2025-07-27 00:01:22,192.168.1.68,64.233.166.84,UDP,63334,443,1292
2025-07-27 00:01:22,64.233.166.84,192.168.1.68,UDP,443,63334,71
2025-07-27 00:01:22,64.233.166.84,192.168.1.68,UDP,443,63334,71
2025-07-27 00:01:22,64.233.166.84,192.168.1.68,UDP,443,63334,71
2025-07-27 00:01:22,192.168.1.68,64.233.166.84,UDP,63334,443,74
2025-07-27 00:01:22,64.233.166.84,192.168.1.68,UDP,443,63334,72
2025-07-27 00:01:22,64.233.166.84,192.168.1.68,UDP,443,63334,74
2025-07-27 00:01:22,162.159.134.234,192.168.1.68,TCP,443,61946,114
2025-07-27 00:01:22,192.168.1.68,64.233.166.84,UDP,63334,443,74
2025-07-27 00:01:22,64.233.166.84,192.168.1.68,UDP,443,63334,414
2025-07-27 00:01:22,64.233.166.84,192.168.1.68,UDP,443,63334,1288
2025-07-27 00:01:22,64.233.166.84,192.168.1.68,UDP,443,63334,76
2025-07-27 00:01:22,64.233.166.84,192.168.1.68,UDP,443,63334,283
2025-07-27 00:01:22,192.168.1.68,64.233.166.84,UDP,63334,443,75
2025-07-27 00:01:22,192.168.1.68,64.233.166.84,UDP,63334,443,77
2025-07-27 00:01:22,192.168.1.68,64.233.166.84,UDP,63334,443,73
2025-07-27 00:01:22,192.168.1.68,162.159.134.234,TCP,61946,443,54
2025-07-27 00:01:22,64.233.166.84,192.168.1.68,UDP,443,63334,68
2025-07-27 00:01:22,64.233.166.84,192.168.1.68,UDP,443,63334,66
2025-07-27 00:01:22,64.233.166.84,192.168.1.68,UDP,443,63334,66
2025-07-27 00:01:22,192.168.1.68,239.255.255.250,UDP,58214,1900,212
2025-07-27 00:01:23,192.168.1.68,142.250.203.234,UDP,50241,443,628
2025-07-27 00:01:23,142.250.203.234,192.168.1.68,UDP,443,50241,71
2025-07-27 00:01:23,192.168.1.68,142.250.203.234,UDP,50241,443,75
2025-07-27 00:01:24,142.250.203.234,192.168.1.68,UDP,443,50241,1050
2025-07-27 00:01:24,142.250.203.234,192.168.1.68,UDP,443,50241,64
2025-07-27 00:01:24,192.168.1.68,142.250.203.234,UDP,50241,443,79
2025-07-27 00:01:24,142.250.203.234,192.168.1.68,UDP,443,50241,67
2025-07-27 00:01:24,192.168.1.68,142.250.203.234,UDP,50241,443,71
2025-07-27 00:01:24,142.250.203.234,192.168.1.68,UDP,443,50241,67
2025-07-27 00:01:24,192.168.1.68,142.250.203.234,UDP,50241,443,71
2025-07-27 00:01:24,142.250.203.234,192.168.1.68,UDP,443,50241,67
2025-07-27 00:01:24,192.168.1.68,142.250.203.234,UDP,50241,443,71
2025-07-27 00:01:24,142.250.203.234,192.168.1.68,UDP,443,50241,67
2025-07-27 00:01:25,192.168.1.68,142.250.203.234,UDP,50241,443,71
2025-07-27 00:01:25,142.250.203.234,192.168.1.68,UDP,443,50241,67
2025-07-27 00:01:25,192.168.1.68,142.250.203.234,UDP,50241,443,71
2025-07-27 00:01:25,142.250.203.234,192.168.1.68,UDP,443,50241,67
2025-07-27 00:01:25,192.168.1.68,142.250.203.234,UDP,50241,443,71
2025-07-27 00:01:25,142.250.203.234,192.168.1.68,UDP,443,50241,67
2025-07-27 00:01:25,192.168.1.68,142.251.168.188,TCP,62334,5228,55
2025-07-27 00:01:25,142.251.168.188,192.168.1.68,TCP,5228,62334,66
2025-07-27 00:01:26,192.168.1.68,142.250.203.234,UDP,50241,443,71
2025-07-27 00:01:26,142.250.203.234,192.168.1.68,UDP,443,50241,67
2025-07-27 00:01:26,192.168.1.68,142.250.203.234,UDP,50241,443,71
2025-07-27 00:01:26,142.250.203.234,192.168.1.68,UDP,443,50241,67
2025-07-27 00:01:27,192.168.1.68,162.159.134.234,TCP,61946,443,175
2025-07-27 00:01:27,162.159.134.234,192.168.1.68,TCP,443,61946,60
2025-07-27 00:01:27,162.159.134.234,192.168.1.68,TCP,443,61946,88
2025-07-27 00:01:27,192.168.1.68,162.159.134.234,TCP,61946,443,54
2025-07-27 00:01:28,142.250.203.234,192.168.1.68,UDP,443,50241,120
2025-07-27 00:01:28,192.168.1.68,142.250.203.234,UDP,50241,443,75
2025-07-27 00:01:28,192.168.1.68,142.250.203.234,UDP,50241,443,71
2025-07-27 00:01:28,142.250.203.234,192.168.1.68,UDP,443,50241,67
2025-07-27 00:01:28,192.168.1.68,142.250.203.234,UDP,50241,443,71
2025-07-27 00:01:28,142.250.203.234,192.168.1.68,UDP,443,50241,67
2025-07-27 00:01:28,192.168.1.68,142.250.203.234,UDP,50241,443,71
2025-07-27 00:01:28,142.250.203.234,192.168.1.68,UDP,443,50241,67
2025-07-27 00:01:29,192.168.1.68,142.250.203.234,UDP,50241,443,71
2025-07-27 00:01:29,142.250.203.234,192.168.1.68,UDP,443,50241,67
2025-07-27 00:01:29,192.168.1.68,142.250.203.234,UDP,50241,443,71
2025-07-27 00:01:29,142.250.203.234,192.168.1.68,UDP,443,50241,67
2025-07-27 00:01:29,192.168.1.68,23.215.0.135,TCP,62938,443,55
2025-07-27 00:01:29,192.168.1.68,142.250.203.234,UDP,50241,443,71
2025-07-27 00:01:29,142.250.203.234,192.168.1.68,UDP,443,50241,67
2025-07-27 00:01:29,142.250.201.37,192.168.1.68,TCP,443,62939,127
2025-07-27 00:01:29,192.168.1.68,142.250.201.37,TCP,62939,443,54
2025-07-27 00:01:29,162.159.134.234,192.168.1.68,TCP,443,61946,117
2025-07-27 00:01:29,192.168.1.68,162.159.134.234,TCP,61946,443,54
2025-07-27 00:01:29,23.215.0.135,192.168.1.68,TCP,443,62938,66
2025-07-27 00:01:29,142.250.201.37,192.168.1.68,TCP,443,62939,54
2025-07-27 00:01:29,192.168.1.68,142.250.201.37,TCP,62939,443,54
2025-07-27 00:01:30,192.168.1.68,142.250.203.234,UDP,50241,443,71
2025-07-27 00:01:30,142.250.203.234,192.168.1.68,UDP,443,50241,67
2025-07-27 00:01:30,192.168.1.68,162.159.141.124,TCP,62856,443,55
2025-07-27 00:01:30,162.159.141.124,192.168.1.68,TCP,443,62856,54
2025-07-27 00:01:30,192.168.1.68,142.250.203.234,UDP,50241,443,71
2025-07-27 00:01:30,142.250.203.234,192.168.1.68,UDP,443,50241,67
2025-07-27 00:01:32,192.168.1.68,35.186.224.41,TCP,62750,443,82
2025-07-27 00:01:32,35.186.224.41,192.168.1.68,TCP,443,62750,54
2025-07-27 00:01:32,192.168.1.68,192.168.1.254,UDP,51911,53,88
2025-07-27 00:01:32,192.168.1.254,192.168.1.68,UDP,53,51911,454
2025-07-27 00:01:32,192.168.1.68,20.50.88.238,TCP,62962,443,66
2025-07-27 00:01:32,20.50.88.238,192.168.1.68,TCP,443,62962,66
2025-07-27 00:01:32,192.168.1.68,20.50.88.238,TCP,62962,443,54
2025-07-27 00:01:32,192.168.1.68,20.50.88.238,TCP,62962,443,571
2025-07-27 00:01:32,192.168.1.68,142.250.203.234,UDP,50241,443,71
2025-07-27 00:01:32,142.250.203.234,192.168.1.68,UDP,443,50241,67
